Mass-to-charge,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5,Spectra 6
707.5427,357,153,357,1072,1586,0
707.5688,408,255,357,868,1483,102
707.595,920,408,306,1022,665,204
707.6211,1021,255,357,919,204,153
707.6473,868,102,613,1226,204,0
707.6735,511,204,460,1430,460,0
707.6996,358,510,306,1329,409,0
707.7258,102,869,460,816,102,0
707.7519,357,1023,613,510,153,0
707.7781,358,767,459,408,102,102
707.8043,306,562,511,664,153,306
707.8304,255,408,665,969,613,255
707.8566,358,204,409,868,817,153
707.8828,818,102,102,408,870,307
707.9089,1432,153,153,306,715,409
707.9351,1535,102,357,102,459,255
707.9613,921,153,357,204,204,256
707.9874,153,51,306,204,102,204
708.0136,306,0,460,255,0,51
708.0398,510,0,459,204,51,0
708.0659,612,102,613,408,204,0
708.0921,562,153,817,510,204,0
708.1183,715,204,869,1125,51,0
708.1444,919,307,817,1534,0,0
708.1706,1125,256,460,1533,0,51
708.1968,664,153,102,869,0,102
708.2229,408,255,51,408,153,0
708.2491,664,102,255,306,255,0
708.2753,408,0,408,511,358,0
708.3014,153,0,460,869,562,102
708.3276,358,0,1124,1279,663,153
708.3538,613,0,1482,1329,255,102
708.38,562,51,1482,1278,255,51
708.4061,408,153,715,919,511,0
708.4323,153,204,459,1073,715,0
708.4585,51,51,306,1125,1022,0
708.4847,0,0,408,766,1074,0
708.5108,255,51,255,460,919,0
708.537,255,0,102,357,818,0
708.5632,102,51,153,204,665,0
708.5894,51,0,358,102,562,0
708.6155,51,51,409,153,256,0
708.6417,153,102,716,357,102,0
708.6679,255,102,665,459,204,51
708.6941,409,102,153,664,306,153
708.7203,510,255,0,869,357,255
708.7464,664,153,0,868,357,204
708.7726,613,255,0,919,358,102
708.7988,153,511,102,867,460,51
708.825,0,664,153,714,613,0
708.8512,0,715,102,919,819,0
708.8773,255,767,51,919,818,0
708.9035,971,562,153,614,664,51
708.9297,1279,153,510,204,409,0
708.9559,1073,51,869,459,358,0
708.9821,614,153,766,561,307,0
709.0083,562,153,510,460,307,0
709.0344,562,0,153,102,665,0
709.0606,767,0,204,51,1176,0
709.0868,664,0,408,460,1074,0
709.113,767,0,460,1483,512,0
709.1392,1022,0,460,1994,102,0
709.1654,1021,0,563,1482,306,0
709.1916,612,0,409,561,357,102
709.2177,612,0,255,204,408,204
709.2439,204,102,153,102,255,204
709.2701,409,102,204,102,511,102
709.2963,511,0,153,102,408,0
709.3225,664,51,51,0,306,0
709.3487,1072,358,204,255,204,0
709.3749,1890,511,358,613,357,0
709.4011,1789,306,562,818,510,0
709.4273,1380,153,306,665,562,0
709.4535,766,51,51,561,357,51
709.4797,307,153,51,562,357,102
709.5058,306,204,102,766,306,0
709.532,409,153,408,408,358,0
709.5582,204,102,408,153,511,102
709.5844,204,204,153,613,460,307
709.6106,409,204,204,663,357,409
709.6368,459,102,306,408,153,255
709.663,255,0,153,510,153,153
709.6892,715,0,102,919,665,204
709.7154,1279,0,357,613,920,51
709.7416,1432,0,562,306,665,51
709.7678,920,0,255,357,51,51
709.794,817,204,0,306,51,153
709.8202,767,255,153,102,51,102
709.8464,1074,153,408,51,102,153
709.8726,920,102,511,51,204,204
709.8988,867,153,460,204,460,153
709.925,715,102,612,562,510,0
709.9512,716,0,1125,716,358,0
709.9774,510,0,1073,459,153,0
